"CountyName","Condition","Year","mean_crude_prev","mean_TotalPopulation","mean_FoodInsecRate","mean_FoodInsecPersons","mean_FoodInsecPersons_Black","mean_FoodInsecPersons_Hispanic","mean_FoodInsecPersons_White","n_records"
"Suffolk","High Blood Pressure",2019,46.0354591836735,3683.54081632653,0.106,84280,0.21,0.18,0.1,392
"Suffolk","High Blood Pressure",2021,41.0534534534535,3593.97747747748,0.101,80250,0.22,0.17,0.08,666
"Suffolk","Leisure Activity",2019,27.8770408163265,3683.54081632653,0.106,84280,0.21,0.18,0.1,196
"Suffolk","Leisure Activity",2020,21.3086734693878,3683.54081632653,0.122,97820,0.23,0.19,0.08,196
"Suffolk","Leisure Activity",2022,22.3657657657658,3593.97747747748,0.122,95770,0.26,0.22,0.1,222
"Suffolk","Obesity",2019,23.6530612244898,3683.54081632653,0.106,84280,0.21,0.18,0.1,196
"Suffolk","Obesity",2020,22.6928571428571,3683.54081632653,0.122,97820,0.23,0.19,0.08,196
"Suffolk","Obesity",2022,26.0063063063063,3593.97747747748,0.122,95770,0.26,0.22,0.1,222
"Worcester","Diabetes",2019,8.50290697674419,4642.74418604651,0.082,67240,0.17,0.18,0.07,172
"Worcester","Diabetes",2020,8.65988372093023,4642.74418604651,0.091,75560,0.19,0.2,0.05,172
"Worcester","Diabetes",2022,10.4806282722513,4513.67015706806,0.101,86490,0.24,0.21,0.08,191
"Worcester","High Blood Pressure",2019,51.0744186046512,4642.74418604651,0.082,67240,0.17,0.18,0.07,344
"Worcester","High Blood Pressure",2021,45.4764397905759,4513.67015706806,0.077,65740,0.19,0.16,0.06,573
"Worcester","Leisure Activity",2019,27.4994186046512,4642.74418604651,0.082,67240,0.17,0.18,0.07,172
"Worcester","Leisure Activity",2020,22.8412790697674,4642.74418604651,0.091,75560,0.19,0.2,0.05,172
"Worcester","Leisure Activity",2022,23.8628272251309,4513.67015706806,0.101,86490,0.24,0.21,0.08,191
"Worcester","Obesity",2019,31.6936046511628,4642.74418604651,0.082,67240,0.17,0.18,0.07,172
"Worcester","Obesity",2020,30.5581395348837,4642.74418604651,0.091,75560,0.19,0.2,0.05,172
"Worcester","Obesity",2022,32.8952879581152,4513.67015706806,0.101,86490,0.24,0.21,0.08,191
